post_id,timestamp,caption,likes,comments,shares,saves,impressions,reach,follower_count,audience_gender,audience_age,location,hashtags,media_type
post_001,2025-01-15 10:30:00,"Exciting news! Our new product launch is coming soon! #innovation #tech",1250,42,18,25,8500,6200,12500,Mixed,25-34,New York,"#innovation,#tech,#productlaunch",Image
post_002,2025-01-16 14:45:00,"Behind the scenes at our latest photoshoot. #teamwork #creativity",890,28,12,15,5200,3800,12450,Female,18-24,Los Angeles,"#teamwork,#creativity,#photoshoot",Image
post_003,2025-01-17 09:15:00,"Customer testimonial: How our solution helped increase productivity by 40%. #success #customerstory",2100,65,32,41,15200,11800,12600,Male,35-44,Chicago,"#success,#customerstory,#productivity",Video
post_004,2025-01-18 18:30:00,"Join us for our webinar tomorrow! Register now. #webinar #education",750,19,8,11,4100,3200,12550,Mixed,25-34,San Francisco,"#webinar,#education,#learning",Carousel
post_005,2025-01-19 12:00:00,"Celebrating our milestone of 10K followers! Thank you for your support. #milestone #community",3200,89,45,62,22500,18900,12800,Female,18-34,Boston,"#milestone,#community,#thankyou",Image
post_006,2025-01-20 16:20:00,"New blog post: 5 Trends That Will Shape Our Industry in 2025. #industry #trends",680,22,14,9,3800,2900,12750,Male,25-44,Miami,"#industry,#trends,#blog",Link
post_007,2025-01-21 08:45:00,"Quick tip Tuesday! Boost your morning productivity with these hacks. #productivity #tips",920,31,16,18,5600,4300,12650,Mixed,18-24,Seattle,"#productivity,#tips,#tuesday",Image
post_008,2025-01-22 20:15:00,"Our team celebrating our quarterly goals achievement! #team #goals #celebration",1850,56,28,35,12800,9800,12900,Female,25-34,Austin,"#team,#goals,#celebration",Video
post_009,2025-01-23 11:30:00,"Did you know? Our platform reduces processing time by 60%. #fact #efficiency",740,24,9,12,4500,3400,12850,Male,35-44,Denver,"#fact,#efficiency,#platform",Image
post_010,2025-01-24 15:45:00,"Happy Friday! What are your weekend plans? #friday #weekend #fun",1350,67,22,28,7800,6100,13000,Mixed,18-24,Portland,"#friday,#weekend,#fun",Carousel